namespace,class,func,docstring,taint_summary,memory_summary
"std::list<T,Allocator>::list",list,list() : list(Allocator()) {}," C++11 起的默认构造函数。构造拥有默认构造的分配器的空 list。
 参数
alloc	-	用于此容器所有内存分配的分配器",{},"{
    <0>.size = 0
}"
"std::list<T,Allocator>::list",list,explicit list( const Allocator& alloc = Allocator() );," C++11 前的默认构造函数。构造拥有给定分配器 alloc 的空 list。
 参数
alloc	-	用于此容器所有内存分配的分配器",{},"{
    <0>.size = 0
}"
"std::list<T,Allocator>::list",list,explicit list( const Allocator& alloc );," C++11 前的默认构造函数。构造拥有给定分配器 alloc 的空 list。
 参数
alloc	-	用于此容器所有内存分配的分配器",{},"{
    <0>.size = 0
}"
"std::list<T,Allocator>::list",list,"explicit list( size_type count, const Allocator& alloc = Allocator() );","构造拥有 count 个默认插入的 T 对象的 list。不进行复制。
 如果 T 不可默认插入 (DefaultInsertable) 到 std::list<T> 中，那么行为未定义。
 参数
alloc	-	用于此容器所有内存分配的分配器
count	-	容器的大小","{
    setSink(<1>)
}","{
    <0>.size = <1>
}"
"std::list<T,Allocator>::list",list,"explicit list( size_type count, const T& value = T(),
               const Allocator& alloc = Allocator() );","构造拥有 count 个值 value 的元素的 list。
如果 T 不可复制插入 (CopyInsertable) 到 std::list<T> 中，那么行为未定义。
参数
alloc	-	用于此容器所有内存分配的分配器
count	-	容器的大小
value	-	以之初始化容器元素的值","{
    setSink(<1>)
    transitive(<0>, <2>)
}","{
    <0>.size = <1>
    <0>.field = <2>
}"
"std::list<T,Allocator>::list",list,"list( size_type count, const T& value,
      const Allocator& alloc = Allocator() );","构造拥有 count 个值 value 的元素的 list。
如果 T 不可复制插入 (CopyInsertable) 到 std::list<T> 中，那么行为未定义。
参数
alloc	-	用于此容器所有内存分配的分配器
count	-	容器的大小
value	-	以之初始化容器元素的值","{
    setSink(<1>)
    transitive(<0>, <2>)
}","{
    <0>.size = <1>
    <0>.field = <2>
}"
"std::list<T,Allocator>::list",list,"template< class InputIt >
list( InputIt first, InputIt last, const Allocator& alloc = Allocator() );","以范围 [first, last) 的内容构造 list。[first, last) 中的每个迭代器都只会解引用一次。
如果 InputIt 不满足老式输入迭代器 (LegacyInputIterator) ，那么就会改为以实参 static_cast<size_type>(first)、last 和 alloc 调用重载 (4)。

(C++11 前)
此重载只有在 InputIt 满足老式输入迭代器 (LegacyInputIterator) 时才会参与重载决议。

如果 T 从 *first 不可就位构造 (EmplaceConstructible) 到 std::list<T> 中，那么行为未定义。
参数
alloc	-	用于此容器所有内存分配的分配器
count	-	容器的大小
value	-	以之初始化容器元素的值
first, last	-	要复制源元素范围的迭代器对","{
    transitive(<0>, <1> || <2>)
}","{
  <0>.size = [0, MAX]
  <0>.field = <1>.field
}"
"std::list<T,Allocator>::list",list,list( const list& other );,"以 other 的内容构造 list。
7) 复制构造函数。
如同通过调用 std::allocator_traits<Allocator>::
    select_on_container_copy_construction
        (other.get_allocator()) 获得分配器。
参数
alloc	-	用于此容器所有内存分配的分配器
count	-	容器的大小
value	-	以之初始化容器元素的值
first, last	-	要复制源元素范围的迭代器对
other	-	用作初始化容器元素来源的另一容器","{
    transitive(<0>, <1>)
}","{
    <0>.field = <1>.field
    <0>.size = <1>.size
}"
"std::list<T,Allocator>::list",list,list( list&& other );,"以 other 的内容构造 list。
移动构造函数。如同通过从 other.get_allocator() 移动构造获得分配器。
参数
alloc	-	用于此容器所有内存分配的分配器
count	-	容器的大小
value	-	以之初始化容器元素的值
first, last	-	要复制源元素范围的迭代器对
other	-	用作初始化容器元素来源的另一容器","{
    transitive(<0>, <1>)
}","{
    <0>.field = <1>.field
    <0>.size = <1>.size
    <1>.size = 0
}"
"std::list<T,Allocator>::list",list,"list( const list& other, const Allocator& alloc );","以 other 的内容构造 list。
与构造函数相同，但是会将 alloc 用作分配器。
 如果 T 不可复制插入 (CopyInsertable) 到 std::list<T> 中，那么行为未定义。
参数
alloc	-	用于此容器所有内存分配的分配器
count	-	容器的大小
value	-	以之初始化容器元素的值
first, last	-	要复制源元素范围的迭代器对
other	-	用作初始化容器元素来源的另一容器","{
    transitive(<0>, <1>)
}","{
    <0>.field = <1>.field
    <0>.size = <1>.size
}"
"std::list<T,Allocator>::list",list,"list( list&& other, const Allocator& alloc );","以 other 的内容构造 list。
与移动函数相同，但是会将 alloc 用作分配器。
 如果 T 不可移动插入 (MoveInsertable) 到 std::list<T> 中，那么行为未定义。
参数
alloc	-	用于此容器所有内存分配的分配器
count	-	容器的大小
value	-	以之初始化容器元素的值
first, last	-	要复制源元素范围的迭代器对
other	-	用作初始化容器元素来源的另一容器","{
    transitive(<0>, <1>)
}","{
    <0>.field = <1>.field
    <0>.size = <1>.size
    <1>.size = 0
}"
"std::list<T,Allocator>::list",list,"list( std::initializer_list<T> init, const Allocator& alloc = Allocator() );","等价于 list(il.begin(), il.end(), alloc)。
参数
init	-	用作初始化元素来源的初始化器列表","{
    transitive(<0>, <1>)
}","{
    <0>.field = <1>.field
    <0>.size = <1>.size
}"
"std::list<T,Allocator>::~list",list,~list();,析构函数。 销毁 list。调用各元素的析构函数，然后解分配所用的存储。注意，若元素是指针，则不销毁所指向的对象。,"{
    sanitize(<0>)
}","{
    <0> = NULL
}"
"std::list<T,Allocator>::operator=",list,list& operator=( const list& other );,"复制赋值运算符。以 other 内容的副本替换内容。
若 std::allocator_traits<allocator_type>::propagate_on_container_copy_assignment::value 为 true，则用 other 的分配器的副本替换 *this 的分配器。若 *this 的分配器在赋值后将与其旧值比较不相等，则用旧分配器解分配内存，然后在复制元素前用新分配器分配内存。否则，在可行时可能复用 *this 所拥有的内存。任何情况下，原属于 *this 的元素要么被销毁，要么被逐元素复制赋值所替换。
参数
other	-	用作数据源的另一容器
返回值
*this","{
    transitive(<0>, <1>)
    transitive(<-1>, <0>)
}","{
    <0>.field = <1>.field
    <0>.size = <1>.size
    <-1> = <0>
}"
"std::list<T,Allocator>::operator=",list,list& operator=( list&& other );," 移动赋值运算符。用移动语义以 other 的内容替换内容（即从 other 移动 other 中的数据到此容器中）。之后 other 处于合法但未指定的状态。
 若 std::allocator_traits<allocator_type>::propagate_on_container_move_assignment::value 为 true，则用 other 的分配器的副本替换 *this 的分配器。若它为 false 且 *this 与 other 的分配器比较不相等，则 *this 不能接管 other 所拥有的内存的所有权且必须单独地移动赋值每个元素，并用其自身的分配器按需分配额外内存。任何情况下，原属于 *this 的元素要么被销毁，要么被逐元素移动赋值所替换。
参数
other	-	用作数据源的另一容器
返回值
*this","{
    transitive(<0>, <1>)
    transitive(<-1>, <0>)
}","{
    <0>.field = <1>.field
    <0>.size = <1>.size
    <1>.size = 0
    <-1> = <0>
}"
"std::list<T,Allocator>::operator=",list,list& operator=( list&& other ) noexcept," 移动赋值运算符。用移动语义以 other 的内容替换内容（即从 other 移动 other 中的数据到此容器中）。之后 other 处于合法但未指定的状态。
 若 std::allocator_traits<allocator_type>::propagate_on_container_move_assignment::value 为 true，则用 other 的分配器的副本替换 *this 的分配器。若它为 false 且 *this 与 other 的分配器比较不相等，则 *this 不能接管 other 所拥有的内存的所有权且必须单独地移动赋值每个元素，并用其自身的分配器按需分配额外内存。任何情况下，原属于 *this 的元素要么被销毁，要么被逐元素移动赋值所替换。
参数
other	-	用作数据源的另一容器
返回值
*this","{
    transitive(<0>, <1>)
    transitive(<-1>, <0>)
}","{
    <0>.field = <1>.field
    <0>.size = <1>.size
    <1>.size = 0
    <-1> = <0>
}"
"std::list<T,Allocator>::operator=",list,list& operator=( std::initializer_list<value_type> ilist );,"以 initializer_list ilist 所标识者替换内容。
参数
other	-	用作数据源的另一容器
ilist	-	用作数据源的 initializer_list
返回值
*this","{
    transitive(<0>, <1>)
    transitive(<-1>, <0>)
}","{
    <0>.field = <1>.field
    <0>.size = <1>.size
    <-1> = <0>
}"
"std::list<T,Allocator>::assign",list,"void assign( size_type count, const T& value );","替换容器的内容。
1) 以 count 份 value 的副本替换内容。
参数
count	-	容器的新大小
value	-	用以初始化容器元素的值","{
    setSink(<1>)
    transitive(<0>, <2>)
}","{
    <0>.field = <2>
    <0>.size = <1>
}"
"std::list<T,Allocator>::assign",list,"template< class InputIt >
void assign( InputIt first, InputIt last );","以范围 [first, last) 中元素的副本替换内容。
 其中有任何一个实参是指向 *this 中的迭代器时行为未定义。
如果 InputIt 是整数类型，那么此重载与 (1) 拥有相同效果。
此重载只有在 InputIt 满足老式输入迭代器 (LegacyInputIterator) 时才会参与重载决议。
参数
first, last	-	要复制的源元素范围的迭代器对","{
    transitive(<0>, <1> || <2>)
}","{
  <0>.size = [0, MAX]
  <0>.field = <1>.field
}"
"std::list<T,Allocator>::assign",list,void assign( std::initializer_list<T> ilist );," 以 ilist 的元素替换内容。
指代容器元素的所有迭代器、指针和引用均会失效。
参数
ilist	-	复制值来源的 std::initializer_list","{
    transitive(<0>, <1>)
}","{
    <0>.size = <1>.size
    <0>.field = <1>.field
}"
"std::list<T,Allocator>::get_allocator",list,allocator_type get_allocator() const;,"返回与容器关联的分配器。

参数
（无）

返回值
关联的分配器。",{},{}
"std::list<T,Allocator>::front",list,reference front();,"返回到容器首元素的引用。

在空容器上对 front 的调用是未定义的。

参数
（无）

返回值
到首元素的引用","{
    transitive(<-1>, <0>)
}","{
    <-1> = <0>.field
}"
"std::list<T,Allocator>::front",list,const_reference front() const;,"返回到容器首元素的引用。

在空容器上对 front 的调用是未定义的。

参数
（无）

返回值
到首元素的引用","{
    transitive(<-1>, <0>)
}","{
    <-1> = <0>.field
}"
"std::list<T,Allocator>::back",list,reference back();,"返回到容器中最后一个元素的引用。

在空容器上调用 back 导致未定义行为。

参数
（无）

返回值
到最后元素的引用。","{
    transitive(<-1>, <0>)
}","{
    <-1> = <0>.field
}"
"std::list<T,Allocator>::back",list,const_reference back() const;,"返回到容器中最后一个元素的引用。

在空容器上调用 back 导致未定义行为。

参数
（无）

返回值
到最后元素的引用。","{
    transitive(<-1>, <0>)
}","{
    <-1> = <0>.field
}"
"std::list<T,Allocator>::begin",list,iterator begin();,"返回指向 list 首元素的迭代器。

如果 list 为空，那么返回的迭代器等于 end()。
参数
（无）

返回值
指向首元素的迭代器。","{
    transitive(<-1>, <0>)
}","{
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::begin",list,const_iterator begin() const;,"返回指向 list 首元素的迭代器。

如果 list 为空，那么返回的迭代器等于 end()。
参数
（无）

返回值
指向首元素的迭代器。","{
    transitive(<-1>, <0>)
}","{
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::cbegin",list,const_iterator cbegin() const noexcept;,"返回指向 list 首元素的迭代器。

如果 list 为空，那么返回的迭代器等于 end()。
参数
（无）

返回值
指向首元素的迭代器。","{
    transitive(<-1>, <0>)
}","{
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::end",list,iterator end();,"返回指向 list 末元素后一元素的迭代器。

此元素表现为占位符；试图访问它导致未定义行为。

参数
（无）

返回值
指向后随最后元素的迭代器。","{
    transitive(<-1>, <0>)
}","{
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::end",list,const_iterator end() const;,"返回指向 list 末元素后一元素的迭代器。

此元素表现为占位符；试图访问它导致未定义行为。

参数
（无）

返回值
指向后随最后元素的迭代器。","{
    transitive(<-1>, <0>)
}","{
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::cend",list,const_iterator cend() const noexcept;,"返回指向 list 末元素后一元素的迭代器。

此元素表现为占位符；试图访问它导致未定义行为。

参数
（无）

返回值
指向后随最后元素的迭代器。","{
    transitive(<-1>, <0>)
}","{
    <-1> = [<0>.begin, <0>.end]
}"
